id,city,price,tire_type,tire_width,height_ratio,wheel_diameter,new_car_price,turbo,finish_level,number_of_doors,number_of_seats,avrage_fuel_consumption,avrage_fuel_consumption_city,avrage_fuel_consumption_highway,fuel_type,gearbox,horsepower,max_speed,max_torque,number_of_cylinders,number_of_gears,rounds_per_minute_for_max_power,rounds_per_minute_for_max_torque,zero_to_100_km_in_seconds,automatic_high_beam,dead_vehicle_monitoring_system,independent_emergency_break,abs,turn_tracking_headlights,cancel_airbag,isofix,lane_departure_warning_system,number_of_airbags,seat_belt_warning_system,airpressure_sensors,road_sign_recognition,trunk_volume_in_liters,trunk_volume_in_seat_folding,front_seat_headroom_in_cm,rear_seat_headroom_in_cm,height_in_cm,front_seat_waist_in_cm,rear_seat_waist_in_cm,front_legroom_in_cm,rear_legroom_in_cm,length_in_cm,front_seat_shoulder_in_cm,rear_seat_shoulder_in_cm,width_in_cm,full_tank_volume_in_liters,minimal_weight_in_kg,maximal_weight_in_kg,wheelbase_in_cm,subwoofer,bluetooth,rear_control_air_conditioning,air_conditioning,number_of_air_conditioning_locations,cruise_control,driver_heated_seat,fog_lights,head_light,heated_front_passenger_seat,electric_windows,rain_sensors,heated_rear_passenger_seat,roof_window,dark_windows,hoops,carName,year,engine,current_km,hand,color,original_ownership,next_test,annual_licensing_fee
1574,12,380000,R,275,40,18,429000,1,AMG,4,5,17.7453684922245,20.3863265306122,14.6269151138716,חשמל/בנזין,1,320,225,6860,4,9,5479.9424184261,2977.83694937541,5.7,0,0,1,1,1,1,1,1,7,1,1,0,370,1350.40191804708,105.1,97.1,146.8,149.9,149.4,105.240853658537,90.8045212765958,492.3,146.7,145,185.2,50,1985,2625,293.9,1,0,0,1,2,1,1,0,לד,1,4,1,0,1,0,1,86,2020,1991,40000,1,1,1,3,4731
1575,2,175000,R,245,40,18,155000,1,AMG,4,5,18.9,22.7,14.7,בנזין,1,211,250,3430,4,7,5500,1200,6.6,0,0,1,1,1,1,1,0,7,1,1,0,480,1350.40191804708,103.9,94.2,144.2,145.4,146.2,105.240853658537,90.8045212765958,468.6,140.4,139.8,181,66,1480,2045,284,1,1,0,1,2,0,1,0,לד,1,4,1,0,1,1,1,467,2015,1991,85000,4,1,1,6,2397
1577,30,76545,R,195,45,16,78645,0,GT LINE,5,5,18.5,22.2,14.3,בנזין,1,84,161,1195.6,4,4,6000,4000,13.7,0,0,1,1,0,1,1,1,7,1,1,1,255,1010,100.5,96,148.5,124.5,123,108.5,82,359.5,130,128,159.5,35,959,1400,240,0,1,0,1,1,0,0,1,הלוגן,0,4,0,0,1,0,1,277,2019,1248,44982,1,1,1,3,1235
1578,11,90900,R,195,65,15,99900,0,SUN,4,5,17.9,21.7,13.7,בנזין,1,132,190,1568,4,6.06779661016949,6400,4400,11.1,1,0,1,1,0,1,1,1,7,1,1,1,530,1350.40191804708,98.7101224489796,95.1877685950413,146.5,139.755389908257,136.878071182549,105.240853658537,90.8045212765958,462,141.245632973503,138.14139626352,177.5,55,1205,1903.18990889979,270,0,1,0,0,1.830078125,0,0,0,הלוגן,0,4,0,0,0,1,2,0,2018,1598,82824,1,1,2,3,1604
1579,2,52395,R,215,55,17,55000,1,ACTIVE,4,5,17.2,20.8,13.3,בנזין,1,165,210,2352,4,6,6000,1400,8.9,0,0,1,1,0,1,1,0,6,1,1,0,515,1244,89.6,85.7,145.6,150.5,145.6,93.4,90.8045212765958,483,143,137.9,185.3,72,1410,2015,281.7,0,1,0,1,2,0,0,1,הלוגן,0,4,1,0,0,1,1,468,2016,1598,129913,1,6,1,11,2019
1580,2,99500,R,225,60,17,127995,0,PREMIUM,5,5,12.7,20.3863265306122,14.6269151138716,בנזין,1,155,189.119543317663,1881.6,4,6,6200,4000,10.783321799308,0,0,1,1,0,1,1,1,6,1,1,1,488,1478,100.5,99.5,165,141.3,138.4,105.3,97,447.5,145,141,185,62,1470,2060,267,0,1,0,1,2,0,0,1,הלוגן,0,4,0,0,0,1,1,34,2017,1999,90000,1,1,1,4,1835
1583,11,83895,R,195,65,15,82700,0,GL,4,5,15.6,20,11.4,בנזין,1,127,195,1519,4,6,6300,4850,11.6,0,0,1,1,0,0,1,1,7,0,1,1,458,1350.40191804708,102.4,94.7,145,135.6,131.8,107.3,90.6,457,142.7,140.5,180,50,1250,1800,270,0,1,0,0,1.830078125,0,0,1,הלוגן,0,4,0,0,0,1,1,106,2018,1591,130000,2,1,1,4,1604
1584,2,115000,R,215,70,16,138495,0,INTENSE,5,7,15.9,17.9,13.2,בנזין,1,150,192,1911,4,6.06779661016949,6000,4100,11.5,0,0,1,1,0,1,1,1,7,1,1,0,128,1608,92.8,87.2,168,139.755389908257,136.878071182549,87,87.5,469.5,143.7,142.5,181,63,1460,1985,267,0,1,0,1,2,1,0,1,הלוגן,0,4,1,0,0,1,1,81,2018,1998,113887,1,1,2,9,2019
1585,2,87000,R,205,55,16,101900,1,AMBITION,5,5,21.3,23.8,17.9,בנזין,1,115,189.119543317663,1960,3,7,5000,2000,10.783321799308,0,0,1,1,0,1,1,1,7,1,1,0,413.263624841572,1350.40191804708,98.3,95.1877685950413,146.1,139.755389908257,136.878071182549,105.240853658537,90.8045212765958,467,141.245632973503,138.14139626352,181.4,50,1378.96836668819,1903.18990889979,268.6,0,1,0,1,2,0,0,1,הלוגן,0,4,1,0,0,1,2,45,2018,999,82847,1,1,2,11,1604
1586,2,59000,R,175,65,14,73395,0,LX,5,5,18.5,22.2,14.3,בנזין,1,84,161,1195.6,4,4,6000,4000,13.7,0,0,1,1,0,1,1,1,7,1,1,1,255,1010,100.5,96,148.5,124.5,123,108.5,82,359.5,130,128.1,159.5,35,959,1400,240,0,1,0,0,1.830078125,0,0,0,הלוגן,0,4,0,0,0,1,2,3,2018,1248,127887,1,17,2,10,1102
